# Galaxy Location Data
# Columns: objid, specobjid, type, ra, dec, u, g, r, i, z, redshift

#Table
objid,specobjid,type,ra,dec,u,g,r,i,z,redshift
1237662301903192107,5814320393805387776,GALAXY,229.526534777622,42.744066569489,17.4386,15.8068,15.2021,14.9146,14.5714,0.0407244
1237662301903192158,,GALAXY,229.565404965809,42.7270091350475,24.3383,23.2861,21.4142,20.5625,20.4875,
1237662301903192222,,GALAXY,229.462579610366,42.6944371482543,21.1118,19.0846,18.1635,17.7624,17.4394,
1237662301903192523,,GALAXY,229.511963593434,42.8149636592598,23.5101,22.0963,20.5471,19.9894,19.8391,
1237662301903192667,,GALAXY,229.522491631342,42.7612177275692,20.9239,19.0527,18.5264,18.258,18.154,
1237662301903192749,,GALAXY,229.519916156666,42.7079907169352,22.28,22.1788,21.0745,20.5519,20.3794,
1237662301903192751,,GALAXY,229.542247481627,42.7324414471755,25.1248,22.4224,21.9458,21.4081,20.884,
1237662301903192762,,GALAXY,229.52695993793,42.7068607991847,25.6808,21.9166,20.6419,20.1563,19.4767,
1237662301903192764,,GALAXY,229.533628487869,42.7125638801265,23.3253,21.715,20.4104,19.8406,19.6534,
1237662301903192793,,GALAXY,229.561563470156,42.7219619930205,24.2524,22.2399,20.5654,19.8204,19.3811,
1237662301903192801,,GALAXY,229.598804376631,42.7584854267069,22.8748,22.0585,20.684,20.1099,19.891,
1237662301903192806,,GALAXY,229.599865182782,42.75433854193,23.5215,22.4736,21.1121,20.6727,20.0064,
1237662301903192822,,GALAXY,229.607747122492,42.755290589097,23.7949,21.4124,20.2396,19.8335,19.6978,
1237662301903192827,,GALAXY,229.609698005714,42.7577030703984,23.6535,21.6882,19.9697,19.3104,19.0023,
1237662499465068599,,GALAXY,229.32715804826,42.5637456530593,24.3808,13.4247,13.3112,12.3842,22.9379,
1237662499465134188,,GALAXY,229.614444077515,42.5950909199154,10.8834,9.44388,9.12844,9.02917,9.89722,
